Municipio,Populacao_estimada
110001 Alta Floresta D'Oeste,29005
110037 Alto Alegre dos Parecis,15454
110040 Alto Paraíso,16510
110034 Alvorada D'Oeste,19542
110002 Ariquemes,86924
110045 Buritis,42717
110003 Cabixi,7421
110060 Cacaulândia,5464
110004 Cacoal,76422
110070 Campo Novo de Rondônia,18619
110080 Candeias do Jamari,17346
110090 Castanheiras,4092
110005 Cerejeiras,17215
110092 Chupinguaia,6649
110006 Colorado do Oeste,18342
110007 Corumbiara,9409
110008 Costa Marques,11735
110094 Cujubim,9238
110009 Espigão D'Oeste,27559
110100 Governador Jorge Teixeira,18786
110010 Guajará-Mirim,42082
110110 Itapuã do Oeste,8699
110011 Jaru,56242
110012 Ji-Paraná,113453
110013 Machadinho D'Oeste,29711
110120 Ministro Andreazza,11223
110130 Mirante da Serra,14152
110140 Monte Negro,16881
110014 Nova Brasilândia D'Oeste,18005
110033 Nova Mamoré,20343
110143 Nova União,9526
110050 Novo Horizonte do Oeste,12916
110015 Ouro Preto do Oeste,40735
110145 Parecis,3204
110018 Pimenta Bueno,31415
110146 Pimenteiras do Oeste,2633
110020 Porto Velho,380974
110025 Presidente Médici,25313
110147 Primavera de Rondônia,4393
110026 Rio Crespo,3603
110028 Rolim de Moura,49907
110029 Santa Luzia D'Oeste,11067
110148 São Felipe D'Oeste,7266
110149 São Francisco do Guaporé,17610
110032 São Miguel do Guaporé,31198
110150 Seringueiras,16225
110155 Teixeirópolis,5894
110160 Theobroma,14326
110170 Urupá,17761
110175 Vale do Anari,10962
110180 Vale do Paraíso,10442
110030 Vilhena,65807
120001 Acrelândia,11786
120005 Assis Brasil,5153
120010 Brasiléia,18056
120013 Bujari,8751
120017 Capixaba,7403
120020 Cruzeiro do Sul,86725
120025 Epitaciolândia,14193
120030 Feijó,39365
120032 Jordão,4662
120033 Mâncio Lima,13116
120034 Manoel Urbano,7843
120035 Marechal Thaumaturgo,8482
120038 Plácido de Castro,17014
120080 Porto Acre,12335
120039 Porto Walter,4851
120040 Rio Branco,314127
120042 Rodrigues Alves,9989
120043 Santa Rosa do Purus,3583
120050 Sena Madureira,33614
120045 Senador Guiomard,21000
120060 Tarauacá,30711
120070 Xapuri,13893
130002 Alvarães,14776
130006 Amaturá,9150
130008 Anamã,6949
130010 Anori,12990
130014 Apuí,19694
130020 Atalaia do Norte,11523
130030 Autazes,29534
130040 Barcelos,33633
130050 Barreirinha,27069
130060 Benjamin Constant,26737
130063 Beruri,13620
130068 Boa Vista do Ramos,12617
130070 Boca do Acre,28480
130080 Borba,36793
130083 Caapiranga,10215
130090 Canutama,9723
130100 Carauari,26377
130110 Careiro,24499
130115 Careiro da Várzea,16626
130120 Coari,87468
130130 Codajás,20407
130140 Eirunepé,30125
130150 Envira,13746
130160 Fonte Boa,39144
130165 Guajará,12228
130170 Humaitá,28498
130180 Ipixuna,17806
130185 Iranduba,42812
130190 Itacoatiara,81674
130195 Itamarati,7919
130200 Itapiranga,8866
130210 Japurá,13096
130220 Juruá,7687
130230 Jutaí,27955
130240 Lábrea,26020
130250 Manacapuru,84656
130255 Manaquiri,14140
130260 Manaus,1688524
130270 Manicoré,38168
130280 Maraã,20836
130290 Maués,46873
130300 Nhamundá,16864
130310 Nova Olinda do Norte,31450
130320 Novo Airão,6516
130330 Novo Aripuanã,21051
130340 Parintins,112636
130350 Pauini,17131
130353 Presidente Figueiredo,24781
130356 Rio Preto da Eva,25513
130360 Santa Isabel do Rio Negro,7077
130370 Santo Antônio do Içá,36098
130380 São Gabriel da Cachoeira,34827
130390 São Paulo de Olivença,29916
130395 São Sebastião do Uatumã,9039
130400 Silves,9278
130406 Tabatinga,45085
130410 Tapauá,17160
130420 Tefé,71975
130423 Tonantins,19439
130426 Uarini,13729
130430 Urucará,23422
130440 Urucurituba,8386
140005 Alto Alegre,22856
140002 Amajari,6229
140010 Boa Vista,249655
140015 Bonfim,13220
140017 Cantá,10826
140020 Caracaraí,18367
140023 Caroebe,5901
140028 Iracema,6290
140030 Mucajaí,11722
140040 Normandia,5191
140045 Pacaraima,8435
140047 Rorainópolis,25913
140050 São João da Baliza,5494
140060 São Luiz,6702
140070 Uiramutã,6543
150010 Abaetetuba,133316
150013 Abel Figueiredo,7131
150020 Acará,63170
150030 Afuá,36524
150034 Água Azul do Norte,33350
150040 Alenquer,39697
150050 Almeirim,34338
150060 Altamira,85649
150070 Anajás,21307
150080 Ananindeua,498095
150085 Anapu,6425
150090 Augusto Corrêa,34998
150095 Aurora do Pará,25174
150100 Aveiro,18949
150110 Bagre,13607
150120 Baião,21893
150125 Bannach,3345
150130 Barcarena,76071
150140 Belém,1428368
150145 Belterra,17659
150150 Benevides,45774
150157 Bom Jesus do Tocantins,14232
150160 Bonito,10762
150170 Bragança,103751
150172 Brasil Novo,21386
150175 Brejo Grande do Araguaia,8243
150178 Breu Branco,46250
150180 Breves,86084
150190 Bujaru,26143
150200 Cachoeira do Arari,17658
150195 Cachoeira do Piriá,20759
150210 Cametá,106816
150215 Canaã dos Carajás,13870
150220 Capanema,61519
150230 Capitão Poço,52960
150240 Castanhal,158462
150250 Chaves,17313
150260 Colares,12328
150270 Conceição do Araguaia,44375
150275 Concórdia do Pará,25176
150276 Cumaru do Norte,6207
150277 Curionópolis,13785
150280 Curralinho,23573
150285 Curuá,9945
150290 Curuçá,30343
150293 Dom Eliseu,50739
150295 Eldorado do Carajás,43013
150300 Faro,15043
150304 Floresta do Araguaia,15342
150307 Garrafão do Norte,26991
150309 Goianésia do Pará,31293
150310 Gurupá,26150
150320 Igarapé-Açu,36164
150330 Igarapé-Miri,60558
150340 Inhangapi,8430
150345 Ipixuna do Pará,36851
150350 Irituia,30080
150360 Itaituba,96515
150370 Itupiranga,65229
150375 Jacareacanga,34683
150380 Jacundá,48368
150390 Juruti,37064
150400 Limoeiro do Ajuru,21847
150405 Mãe do Rio,22580
150410 Magalhães Barata,7961
150420 Marabá,200801
150430 Maracanã,29046
150440 Marapanim,28141
150442 Marituba,101356
150445 Medicilândia,22631
150450 Melgaço,25887
150460 Mocajuba,22054
150470 Moju,62223
150480 Monte Alegre,69372
150490 Muaná,27758
150495 Nova Esperança do Piriá,27943
150497 Nova Ipixuna,14348
150500 Nova Timboteua,12869
150503 Novo Progresso,39245
150506 Novo Repartimento,51627
150510 Óbidos,49582
150520 Oeiras do Pará,26554
150530 Oriximiná,53999
150540 Ourém,15605
150543 Ourilândia do Norte,20054
150548 Pacajá,31179
150549 Palestina do Pará,9033
150550 Paragominas,88877
150553 Parauapebas,95225
150555 Pau D'Arco,8939
150560 Peixe-Boi,9086
150563 Piçarra,14389
150565 Placas,15614
150570 Ponta de Pedras,20316
150580 Portel,44393
150590 Porto de Moz,29890
150600 Prainha,30278
150610 Primavera,11014
150611 Quatipuru,12189
150613 Redenção,72085
150616 Rio Maria,10818
150618 Rondon do Pará,46311
150619 Rurópolis,28497
150620 Salinópolis,41416
150630 Salvaterra,17505
150635 Santa Bárbara do Pará,13313
150640 Santa Cruz do Arari,5611
150650 Santa Izabel do Pará,50543
150655 Santa Luzia do Pará,19818
150658 Santa Maria das Barreiras,13710
150660 Santa Maria do Pará,22996
150670 Santana do Araguaia,42523
150680 Santarém,276074
150690 Santarém Novo,6135
150700 Santo Antônio do Tauá,21836
150710 São Caetano de Odivelas,14608
150715 São Domingos do Araguaia,24230
150720 São Domingos do Capim,32231
150730 São Félix do Xingu,41813
150740 São Francisco do Pará,16186
150745 São Geraldo do Araguaia,27242
150746 São João da Ponta,3916
150747 São João de Pirabas,18389
150750 São João do Araguaia,17207
150760 São Miguel do Guamá,47599
150770 São Sebastião da Boa Vista,19688
150775 Sapucaia,2752
150780 Senador José Porfírio,10285
150790 Soure,21789
150795 Tailândia,53755
150796 Terra Alta,10468
150797 Terra Santa,17395
150800 Tomé-Açu,51612
150803 Tracuateua,27090
150805 Trairão,17892
150808 Tucumã,20826
150810 Tucuruí,87602
150812 Ulianópolis,27987
150815 Uruará,59881
150820 Vigia,42214
150830 Viseu,53607
150835 Vitória do Xingu,10206
150840 Xinguara,29606
160010 Amapá,7465
160020 Calçoene,7878
160021 Cutias,4466
160023 Ferreira Gomes,4458
160025 Itaubal,4062
160027 Laranjal do Jari,37194
160030 Macapá,368367
160040 Mazagão,14259
160050 Oiapoque,16826
160015 Pedra Branca do Amapari,5893
160053 Porto Grande,15328
160055 Pracuúba,2926
160060 Santana,101864
160005 Serra do Navio,4326
160070 Tartarugalzinho,8916
160080 Vitória do Jari,11487
170025 Abreulândia,2392
170030 Aguiarnópolis,3650
170035 Aliança do Tocantins,6491
170040 Almas,9082
170070 Alvorada,8280
170100 Ananás,12156
170105 Angico,2898
170110 Aparecida do Rio Negro,3703
170130 Aragominas,8614
170190 Araguacema,6105
170200 Araguaçu,8951
170210 Araguaína,130105
170215 Araguanã,5691
170220 Araguatins,29936
170230 Arapoema,6641
170240 Arraias,10960
170255 Augustinópolis,14923
170270 Aurora do Tocantins,2827
170290 Axixá do Tocantins,7974
170300 Babaçulândia,11257
170305 Bandeirantes do Tocantins,2641
170307 Barra do Ouro,3776
170310 Barrolândia,4500
170320 Bernardo Sayão,4725
170330 Bom Jesus do Tocantins,2204
170360 Brasilândia do Tocantins,2082
170370 Brejinho de Nazaré,4096
170380 Buriti do Tocantins,8008
170382 Cachoeirinha,2430
170384 Campos Lindos,7307
170386 Cariri do Tocantins,3173
170388 Carmolândia,2170
170389 Carrasco Bonito,4472
170390 Caseara,4314
170410 Centenário,2332
170510 Chapada da Natividade,3716
170460 Chapada de Areia,1184
170550 Colinas do Tocantins,28467
171670 Colméia,9810
170555 Combinado,4268
170560 Conceição do Tocantins,4574
170600 Couto Magalhães,3892
170610 Cristalândia,6862
170625 Crixás do Tocantins,1571
170650 Darcinópolis,5000
170700 Dianópolis,17270
170710 Divinópolis do Tocantins,6137
170720 Dois Irmãos do Tocantins,6766
170730 Dueré,4705
170740 Esperantina,9578
170755 Fátima,3807
170765 Figueirópolis,5165
170770 Filadélfia,8754
170820 Formoso do Araguaia,20301
170825 Fortaleza do Tabocão,2887
170830 Goianorte,4608
170900 Goiatins,10777
170930 Guaraí,21175
170950 Gurupi,72831
170980 Ipueiras,1184
171050 Itacajá,6569
171070 Itaguatins,6706
171090 Itapiratins,3613
171110 Itaporã do Tocantins,1687
171150 Jaú do Tocantins,3298
171180 Juarina,2668
171190 Lagoa da Confusão,9102
171195 Lagoa do Tocantins,2927
171200 Lajeado,3513
171215 Lavandeira,1222
171240 Lizarda,3507
171245 Luzinópolis,2488
171250 Marianópolis do Tocantins,4070
171270 Mateiros,1953
171280 Maurilândia do Tocantins,3524
171320 Miracema do Tocantins,28239
171330 Miranorte,12463
171360 Monte do Carmo,4196
171370 Monte Santo do Tocantins,1948
171395 Muricilândia,2628
171420 Natividade,9764
171430 Nazaré,5888
171488 Nova Olinda,10653
171500 Nova Rosalândia,3273
171510 Novo Acordo,3498
171515 Novo Alegre,2574
171525 Novo Jardim,2617
171550 Oliveira de Fátima,1039
172100 Palmas,220889
171570 Palmeirante,3665
171380 Palmeiras do Tocantins,5930
171575 Palmeirópolis,5407
171610 Paraíso do Tocantins,42319
171620 Paranã,10009
171630 Pau D'Arco,4689
171650 Pedro Afonso,9017
171660 Peixe,8677
171665 Pequizeiro,5553
171700 Pindorama do Tocantins,4490
171720 Piraquê,3724
171750 Pium,4106
171780 Ponte Alta do Bom Jesus,4247
171790 Ponte Alta do Tocantins,6111
171800 Porto Alegre do Tocantins,2607
171820 Porto Nacional,47141
171830 Praia Norte,8528
171840 Presidente Kennedy,3899
171845 Pugmil,2669
171850 Recursolândia,3896
171855 Riachinho,3749
171865 Rio da Conceição,1531
171870 Rio dos Bois,2833
171875 Rio Sono,5420
171880 Sampaio,2448
171884 Sandolândia,3702
171886 Santa Fé do Araguaia,6970
171888 Santa Maria do Tocantins,2463
171889 Santa Rita do Tocantins,1939
171890 Santa Rosa do Tocantins,4681
171900 Santa Tereza do Tocantins,2424
172000 Santa Terezinha do Tocantins,2847
172010 São Bento do Tocantins,2889
172015 São Félix do Tocantins,1595
172020 São Miguel do Tocantins,9613
172025 São Salvador do Tocantins,2843
172030 São Sebastião do Tocantins,4534
172049 São Valério,6092
