Municipality,Urbana,Rural,Total
110001 Alta Floresta D'Oeste,12341,14192,26533
110037 Alto Alegre dos Parecis,2449,10259,12708
110040 Alto Paraíso,4036,9082,13118
110034 Alvorada D'Oeste,8546,11286,19832
110002 Ariquemes,55118,19385,74503
110045 Buritis,15334,10334,25668
110003 Cabixi,2672,4846,7518
110060 Cacaulândia,1850,3522,5372
110004 Cacoal,51398,22170,73568
110070 Campo Novo de Rondônia,3000,8463,11463
110080 Candeias do Jamari,9354,3753,13107
110090 Castanheiras,774,3438,4212
110005 Cerejeiras,14846,3361,18207
110092 Chupinguaia,1954,3567,5521
110006 Colorado do Oeste,14576,7316,21892
110007 Corumbiara,2073,8386,10459
110008 Costa Marques,6758,3450,10208
110094 Cujubim,3196,3340,6536
110009 Espigão D'Oeste,14262,11426,25688
110100 Governador Jorge Teixeira,1558,12083,13641
110010 Guajará-Mirim,33035,5010,38045
110110 Itapuã do Oeste,3677,3145,6822
110011 Jaru,29577,24023,53600
110012 Ji-Paraná,91013,15787,106800
110013 Machadinho D'Oeste,10981,11758,22739
110120 Ministro Andreazza,2160,9182,11342
110130 Mirante da Serra,5733,7421,13154
110140 Monte Negro,5722,6905,12627
110014 Nova Brasilândia D'Oeste,6424,10643,17067
110033 Nova Mamoré,7247,7531,14778
110143 Nova União,1329,6904,8233
110050 Novo Horizonte do Oeste,1344,10932,12276
110015 Ouro Preto do Oeste,26541,14343,40884
110145 Parecis,1134,2488,3622
110018 Pimenta Bueno,26423,5329,31752
110146 Pimenteiras do Oeste,1398,1129,2527
110020 Porto Velho,273709,60952,334661
110025 Presidente Médici,12174,14191,26365
110147 Primavera de Rondônia,1159,3152,4311
110026 Rio Crespo,867,2070,2937
110028 Rolim de Moura,34421,12961,47382
110029 Santa Luzia D'Oeste,4887,6716,11603
110148 São Felipe D'Oeste,1031,6025,7056
110149 São Francisco do Guaporé,5226,5859,11085
110032 São Miguel do Guaporé,6476,17398,23874
110150 Seringueiras,3792,7863,11655
110155 Teixeirópolis,1154,4464,5618
110160 Theobroma,1515,9625,11140
110170 Urupá,4002,10878,14880
110175 Vale do Anari,1836,5901,7737
110180 Vale do Paraíso,1840,8023,9863
110030 Vilhena,50601,2997,53598
120001 Acrelândia,3506,4429,7935
120005 Assis Brasil,2151,1339,3490
120010 Brasiléia,9026,7987,17013
120013 Bujari,1628,4198,5826
120017 Capixaba,1521,3685,5206
120020 Cruzeiro do Sul,38971,28470,67441
120025 Epitaciolândia,7404,3624,11028
120030 Feijó,11240,15482,26722
120032 Jordão,863,3591,4454
120033 Mâncio Lima,5794,5301,11095
120034 Manoel Urbano,3281,3093,6374
120035 Marechal Thaumaturgo,985,7310,8295
120038 Plácido de Castro,6979,8193,15172
120080 Porto Acre,1293,10125,11418
120039 Porto Walter,1441,4044,5485
120040 Rio Branco,226298,26761,253059
120042 Rodrigues Alves,2632,5461,8093
120043 Santa Rosa do Purus,518,1728,2246
120050 Sena Madureira,16155,13265,29420
120045 Senador Guiomard,8640,11121,19761
120060 Tarauacá,13946,12091,26037
120070 Xapuri,5995,5961,11956
130002 Alvarães,5314,6836,12150
130006 Amaturá,3930,3378,7308
130008 Anamã,2064,4499,6563
130010 Anori,7229,4091,11320
130014 Apuí,6126,7738,13864
130020 Atalaia do Norte,4175,5874,10049
130030 Autazes,10150,14195,24345
130040 Barcelos,7954,16243,24197
130050 Barreirinha,9248,13331,22579
130060 Benjamin Constant,14171,9048,23219
130063 Beruri,4959,6079,11038
130068 Boa Vista do Ramos,5017,5465,10482
130070 Boca do Acre,14614,12345,26959
130080 Borba,11246,17373,28619
130083 Caapiranga,3115,5688,8803
130090 Canutama,5439,5298,10737
130100 Carauari,16876,6545,23421
130110 Careiro,5877,21677,27554
130115 Careiro da Várzea,806,16461,17267
130120 Coari,39504,27592,67096
130130 Codajás,11289,6218,17507
130140 Eirunepé,16781,9293,26074
130150 Envira,6745,12315,19060
130160 Fonte Boa,11633,19876,31509
130165 Guajará,6220,7000,13220
130170 Humaitá,23991,8805,32796
130180 Ipixuna,5765,8994,14759
130185 Iranduba,9940,22363,32303
130190 Itacoatiara,46465,25640,72105
130195 Itamarati,3103,5303,8406
130200 Itapiranga,5295,2014,7309
130210 Japurá,2283,8002,10285
130220 Juruá,3052,3532,6584
130230 Jutaí,7725,14775,22500
130240 Lábrea,19276,9680,28956
130250 Manacapuru,47662,26033,73695
130255 Manaquiri,4165,8546,12711
130260 Manaus,1396768,9067,1405835
130270 Manicoré,15339,22699,38038
130280 Maraã,4521,12558,17079
130290 Maués,21179,18857,40036
130300 Nhamundá,6308,9047,15355
130310 Nova Olinda do Norte,10262,13463,23725
130320 Novo Airão,6984,2667,9651
130330 Novo Aripuanã,9054,8065,17119
130340 Parintins,58125,32025,90150
130350 Pauini,6970,10122,17092
130353 Presidente Figueiredo,8407,8987,17394
130356 Rio Preto da Eva,6232,11350,17582
130360 Santa Isabel do Rio Negro,4220,6341,10561
130370 Santo Antônio do Içá,7906,20307,28213
130380 São Gabriel da Cachoeira,12373,17574,29947
130390 São Paulo de Olivença,8770,14343,23113
130395 São Sebastião do Uatumã,4717,2443,7160
130400 Silves,3363,4422,7785
130406 Tabatinga,26637,11282,37919
130410 Tapauá,9414,11181,20595
130420 Tefé,47698,16759,64457
130423 Tonantins,4362,11150,15512
130426 Uarini,3552,6702,10254
130430 Urucará,8098,10274,18372
130440 Urucurituba,6759,5505,12264
140005 Alto Alegre,5195,12712,17907
140002 Amajari,799,4495,5294
140010 Boa Vista,197098,3470,200568
140015 Bonfim,3000,6326,9326
140017 Cantá,1155,7416,8571
140020 Caracaraí,8236,6050,14286
140023 Caroebe,1977,3715,5692
140028 Iracema,3228,1553,4781
140030 Mucajaí,7029,4218,11247
140040 Normandia,1500,4638,6138
140045 Pacaraima,2760,4230,6990
140047 Rorainópolis,7185,10208,17393
140050 São João da Baliza,3882,1209,5091
140060 São Luiz,3447,1864,5311
140070 Uiramutã,525,5277,5802
150010 Abaetetuba,70843,48309,119152
150013 Abel Figueiredo,4897,1060,5957
150020 Acará,9745,42381,52126
150030 Afuá,6782,22723,29505
150034 Água Azul do Norte,2827,19257,22084
150040 Alenquer,25160,16624,41784
150050 Almeirim,18916,15041,33957
150060 Altamira,62285,15154,77439
150070 Anajás,4613,13709,18322
150080 Ananindeua,392627,942,393569
150085 Anapu,3083,6324,9407
150090 Augusto Corrêa,13356,19655,33011
150095 Aurora do Pará,5022,14706,19728
150100 Aveiro,2980,12538,15518
150110 Bagre,4395,9313,13708
150120 Baião,10865,10254,21119
150125 Bannach,1189,2591,3780
150130 Barcarena,27767,35501,63268
150140 Belém,1272354,8260,1280614
150145 Belterra,5126,9468,14594
150150 Benevides,20912,14634,35546
150157 Bom Jesus do Tocantins,6180,6926,13106
150160 Bonito,2582,7232,9814
150170 Bragança,56572,37207,93779
150172 Brasil Novo,4371,12822,17193
150175 Brejo Grande do Araguaia,4255,3209,7464
150178 Breu Branco,15952,16494,32446
150180 Breves,40285,39873,80158
150190 Bujaru,6883,14149,21032
150200 Cachoeira do Arari,5832,9951,15783
150195 Cachoeira do Piriá,2393,13044,15437
150210 Cametá,40417,57207,97624
150215 Canaã dos Carajás,3924,6998,10922
150220 Capanema,46329,10790,57119
150230 Capitão Poço,21121,28648,49769
150240 Castanhal,121249,13247,134496
150250 Chaves,1233,16117,17350
150260 Colares,3238,7394,10632
150270 Conceição do Araguaia,29370,14016,43386
150275 Concórdia do Pará,10848,10108,20956
150276 Cumaru do Norte,1374,4604,5978
150277 Curionópolis,13250,6236,19486
150280 Curralinho,5400,14616,20016
150285 Curuá,2933,6291,9224
150290 Curuçá,9943,16217,26160
150293 Dom Eliseu,23801,15728,39529
150295 Eldorado do Carajás,14112,15496,29608
150300 Faro,4918,5119,10037
150304 Floresta do Araguaia,4874,9410,14284
150307 Garrafão do Norte,7018,17203,24221
150309 Goianésia do Pará,14878,7807,22685
150310 Gurupá,6593,16505,23098
150320 Igarapé-Açu,19489,12911,32400
150330 Igarapé-Miri,24983,27621,52604
150340 Inhangapi,2036,5645,7681
150345 Ipixuna do Pará,4991,20147,25138
150350 Irituia,5826,24692,30518
150360 Itaituba,64486,30264,94750
150370 Itupiranga,14754,34901,49655
150375 Jacareacanga,5670,18354,24024
150380 Jacundá,34518,6028,40546
150390 Juruti,10780,20418,31198
150400 Limoeiro do Ajuru,3770,15794,19564
150405 Mãe do Rio,18738,6613,25351
150410 Magalhães Barata,3978,3715,7693
150420 Marabá,134373,33647,168020
150430 Maracanã,11712,15859,27571
150440 Marapanim,9490,15228,24718
