geocode,municipio,uf,disease,period,zone,cases
110001, Alta Floresta D'Oeste,11,CL,2004-2008,rural,188
110037, Alto Alegre dos Parecis,11,CL,2004-2008,rural,86
110040, Alto Paraíso,11,CL,2004-2008,rural,65
110034, Alvorada D'Oeste,11,CL,2004-2008,rural,79
110002, Ariquemes,11,CL,2004-2008,rural,89
110045, Buritis,11,CL,2004-2008,rural,214
110003, Cabixi,11,CL,2004-2008,rural,27
110060, Cacaulândia,11,CL,2004-2008,rural,45
110004, Cacoal,11,CL,2004-2008,rural,246
110070, Campo Novo de Rondônia,11,CL,2004-2008,rural,101
110080, Candeias do Jamari,11,CL,2004-2008,rural,18
110090, Castanheiras,11,CL,2004-2008,rural,27
110005, Cerejeiras,11,CL,2004-2008,rural,10
110092, Chupinguaia,11,CL,2004-2008,rural,94
110006, Colorado do Oeste,11,CL,2004-2008,rural,40
110007, Corumbiara,11,CL,2004-2008,rural,34
110008, Costa Marques,11,CL,2004-2008,rural,142
110094, Cujubim,11,CL,2004-2008,rural,67
110009, Espigão D'Oeste,11,CL,2004-2008,rural,160
110100, Governador Jorge Teixeira,11,CL,2004-2008,rural,92
110010, Guajará-Mirim,11,CL,2004-2008,rural,37
110110, Itapuã do Oeste,11,CL,2004-2008,rural,17
110011, Jaru,11,CL,2004-2008,rural,88
110012, Ji-Paraná,11,CL,2004-2008,rural,61
110013, Machadinho D'Oeste,11,CL,2004-2008,rural,169
110120, Ministro Andreazza,11,CL,2004-2008,rural,44
110130, Mirante da Serra,11,CL,2004-2008,rural,69
110140, Monte Negro,11,CL,2004-2008,rural,121
110014, Nova Brasilândia D'Oeste,11,CL,2004-2008,rural,90
110033, Nova Mamoré,11,CL,2004-2008,rural,79
110143, Nova União,11,CL,2004-2008,rural,40
110050, Novo Horizonte do Oeste,11,CL,2004-2008,rural,80
110015, Ouro Preto do Oeste,11,CL,2004-2008,rural,23
110145, Parecis,11,CL,2004-2008,rural,109
110018, Pimenta Bueno,11,CL,2004-2008,rural,116
110146, Pimenteiras do Oeste,11,CL,2004-2008,rural,3
110020, Porto Velho,11,CL,2004-2008,rural,214
110025, Presidente Médici,11,CL,2004-2008,rural,44
110147, Primavera de Rondônia,11,CL,2004-2008,rural,27
110026, Rio Crespo,11,CL,2004-2008,rural,35
110028, Rolim de Moura,11,CL,2004-2008,rural,77
110029, Santa Luzia D'Oeste,11,CL,2004-2008,rural,34
110148, São Felipe D'Oeste,11,CL,2004-2008,rural,28
110149, São Francisco do Guaporé,11,CL,2004-2008,rural,105
110032, São Miguel do Guaporé,11,CL,2004-2008,rural,99
110150, Seringueiras,11,CL,2004-2008,rural,83
110155, Teixeirópolis,11,CL,2004-2008,rural,9
110160, Theobroma,11,CL,2004-2008,rural,38
110170, Urupá,11,CL,2004-2008,rural,23
110175, Vale do Anari,11,CL,2004-2008,rural,33
110180, Vale do Paraíso,11,CL,2004-2008,rural,28
110030, Vilhena,11,CL,2004-2008,rural,77
110000, Município ignorado - RO,11,CL,2004-2008,rural,4
120001, Acrelândia,12,CL,2004-2008,rural,117
120005, Assis Brasil,12,CL,2004-2008,rural,221
120010, Brasiléia,12,CL,2004-2008,rural,291
120013, Bujari,12,CL,2004-2008,rural,145
120017, Capixaba,12,CL,2004-2008,rural,147
120020, Cruzeiro do Sul,12,CL,2004-2008,rural,58
120025, Epitaciolândia,12,CL,2004-2008,rural,58
120030, Feijó,12,CL,2004-2008,rural,133
120032, Jordão,12,CL,2004-2008,rural,39
120033, Mâncio Lima,12,CL,2004-2008,rural,55
120034, Manoel Urbano,12,CL,2004-2008,rural,106
120035, Marechal Thaumaturgo,12,CL,2004-2008,rural,112
120038, Plácido de Castro,12,CL,2004-2008,rural,149
120080, Porto Acre,12,CL,2004-2008,rural,190
120039, Porto Walter,12,CL,2004-2008,rural,42
120040, Rio Branco,12,CL,2004-2008,rural,599
120042, Rodrigues Alves,12,CL,2004-2008,rural,23
120043, Santa Rosa do Purus,12,CL,2004-2008,rural,46
120050, Sena Madureira,12,CL,2004-2008,rural,477
120045, Senador Guiomard,12,CL,2004-2008,rural,28
120060, Tarauacá,12,CL,2004-2008,rural,88
120070, Xapuri,12,CL,2004-2008,rural,755
120000, Município ignorado - AC,12,CL,2004-2008,rural,0
130002, Alvarães,13,CL,2004-2008,rural,9
130008, Anamã,13,CL,2004-2008,rural,5
130010, Anori,13,CL,2004-2008,rural,1
130014, Apuí,13,CL,2004-2008,rural,124
130020, Atalaia do Norte,13,CL,2004-2008,rural,26
130030, Autazes,13,CL,2004-2008,rural,36
130040, Barcelos,13,CL,2004-2008,rural,43
130050, Barreirinha,13,CL,2004-2008,rural,15
130060, Benjamin Constant,13,CL,2004-2008,rural,10
130063, Beruri,13,CL,2004-2008,rural,2
130068, Boa Vista do Ramos,13,CL,2004-2008,rural,6
130070, Boca do Acre,13,CL,2004-2008,rural,189
130080, Borba,13,CL,2004-2008,rural,27
130083, Caapiranga,13,CL,2004-2008,rural,12
130090, Canutama,13,CL,2004-2008,rural,15
130100, Carauari,13,CL,2004-2008,rural,13
130110, Careiro,13,CL,2004-2008,rural,30
130115, Careiro da Várzea,13,CL,2004-2008,rural,3
130120, Coari,13,CL,2004-2008,rural,16
130130, Codajás,13,CL,2004-2008,rural,10
130140, Eirunepé,13,CL,2004-2008,rural,85
130150, Envira,13,CL,2004-2008,rural,65
130160, Fonte Boa,13,CL,2004-2008,rural,1
130165, Guajará,13,CL,2004-2008,rural,21
130170, Humaitá,13,CL,2004-2008,rural,103
130180, Ipixuna,13,CL,2004-2008,rural,40
130185, Iranduba,13,CL,2004-2008,rural,15
130190, Itacoatiara,13,CL,2004-2008,rural,439
130195, Itamarati,13,CL,2004-2008,rural,6
130200, Itapiranga,13,CL,2004-2008,rural,14
130210, Japurá,13,CL,2004-2008,rural,4
130220, Juruá,13,CL,2004-2008,rural,2
130230, Jutaí,13,CL,2004-2008,rural,1
130240, Lábrea,13,CL,2004-2008,rural,94
130250, Manacapuru,13,CL,2004-2008,rural,61
130255, Manaquiri,13,CL,2004-2008,rural,4
130260, Manaus,13,CL,2004-2008,rural,697
130270, Manicoré,13,CL,2004-2008,rural,52
130280, Maraã,13,CL,2004-2008,rural,5
130290, Maués,13,CL,2004-2008,rural,71
130300, Nhamundá,13,CL,2004-2008,rural,26
