geocode,municipio,uf,disease,period,zone,cases
110001, Alta Floresta D'Oeste,11,Dengue,2004-2008,rural,102
110037, Alto Alegre dos Parecis,11,Dengue,2004-2008,rural,54
110040, Alto Paraíso,11,Dengue,2004-2008,rural,31
110034, Alvorada D'Oeste,11,Dengue,2004-2008,rural,67
110002, Ariquemes,11,Dengue,2004-2008,rural,66
110045, Buritis,11,Dengue,2004-2008,rural,8
110003, Cabixi,11,Dengue,2004-2008,rural,14
110060, Cacaulândia,11,Dengue,2004-2008,rural,3
110004, Cacoal,11,Dengue,2004-2008,rural,116
110070, Campo Novo de Rondônia,11,Dengue,2004-2008,rural,10
110080, Candeias do Jamari,11,Dengue,2004-2008,rural,43
110090, Castanheiras,11,Dengue,2004-2008,rural,17
110005, Cerejeiras,11,Dengue,2004-2008,rural,13
110092, Chupinguaia,11,Dengue,2004-2008,rural,9
110006, Colorado do Oeste,11,Dengue,2004-2008,rural,14
110007, Corumbiara,11,Dengue,2004-2008,rural,1
110008, Costa Marques,11,Dengue,2004-2008,rural,25
110094, Cujubim,11,Dengue,2004-2008,rural,8
110009, Espigão D'Oeste,11,Dengue,2004-2008,rural,59
110100, Governador Jorge Teixeira,11,Dengue,2004-2008,rural,8
110010, Guajará-Mirim,11,Dengue,2004-2008,rural,32
110110, Itapuã do Oeste,11,Dengue,2004-2008,rural,5
110011, Jaru,11,Dengue,2004-2008,rural,64
110012, Ji-Paraná,11,Dengue,2004-2008,rural,49
110013, Machadinho D'Oeste,11,Dengue,2004-2008,rural,16
110120, Ministro Andreazza,11,Dengue,2004-2008,rural,9
110130, Mirante da Serra,11,Dengue,2004-2008,rural,15
110140, Monte Negro,11,Dengue,2004-2008,rural,23
110014, Nova Brasilândia D'Oeste,11,Dengue,2004-2008,rural,13
110033, Nova Mamoré,11,Dengue,2004-2008,rural,9
110050, Novo Horizonte do Oeste,11,Dengue,2004-2008,rural,15
110015, Ouro Preto do Oeste,11,Dengue,2004-2008,rural,29
110145, Parecis,11,Dengue,2004-2008,rural,10
110018, Pimenta Bueno,11,Dengue,2004-2008,rural,47
110020, Porto Velho,11,Dengue,2004-2008,rural,65
110025, Presidente Médici,11,Dengue,2004-2008,rural,228
110147, Primavera de Rondônia,11,Dengue,2004-2008,rural,9
110026, Rio Crespo,11,Dengue,2004-2008,rural,3
110028, Rolim de Moura,11,Dengue,2004-2008,rural,44
110029, Santa Luzia D'Oeste,11,Dengue,2004-2008,rural,18
110148, São Felipe D'Oeste,11,Dengue,2004-2008,rural,19
110149, São Francisco do Guaporé,11,Dengue,2004-2008,rural,12
110032, São Miguel do Guaporé,11,Dengue,2004-2008,rural,42
110150, Seringueiras,11,Dengue,2004-2008,rural,34
110155, Teixeirópolis,11,Dengue,2004-2008,rural,7
110160, Theobroma,11,Dengue,2004-2008,rural,16
110170, Urupá,11,Dengue,2004-2008,rural,24
110175, Vale do Anari,11,Dengue,2004-2008,rural,6
110180, Vale do Paraíso,11,Dengue,2004-2008,rural,21
110030, Vilhena,11,Dengue,2004-2008,rural,28
110000, Município ignorado - RO,11,Dengue,2004-2008,rural,1
120001, Acrelândia,12,Dengue,2004-2008,rural,9
120005, Assis Brasil,12,Dengue,2004-2008,rural,0
120010, Brasiléia,12,Dengue,2004-2008,rural,26
120013, Bujari,12,Dengue,2004-2008,rural,5
120017, Capixaba,12,Dengue,2004-2008,rural,10
120020, Cruzeiro do Sul,12,Dengue,2004-2008,rural,0
120025, Epitaciolândia,12,Dengue,2004-2008,rural,17
120038, Plácido de Castro,12,Dengue,2004-2008,rural,5
120080, Porto Acre,12,Dengue,2004-2008,rural,14
120040, Rio Branco,12,Dengue,2004-2008,rural,106
120042, Rodrigues Alves,12,Dengue,2004-2008,rural,0
120050, Sena Madureira,12,Dengue,2004-2008,rural,22
120045, Senador Guiomard,12,Dengue,2004-2008,rural,22
120070, Xapuri,12,Dengue,2004-2008,rural,3
120000, Município ignorado - AC,12,Dengue,2004-2008,rural,0
130010, Anori,13,Dengue,2004-2008,rural,1
130020, Atalaia do Norte,13,Dengue,2004-2008,rural,2
130040, Barcelos,13,Dengue,2004-2008,rural,2
130050, Barreirinha,13,Dengue,2004-2008,rural,1
130070, Boca do Acre,13,Dengue,2004-2008,rural,11
130080, Borba,13,Dengue,2004-2008,rural,7
130083, Caapiranga,13,Dengue,2004-2008,rural,2
130090, Canutama,13,Dengue,2004-2008,rural,1
130100, Carauari,13,Dengue,2004-2008,rural,0
130110, Careiro,13,Dengue,2004-2008,rural,10
130120, Coari,13,Dengue,2004-2008,rural,15
130130, Codajás,13,Dengue,2004-2008,rural,1
130140, Eirunepé,13,Dengue,2004-2008,rural,0
130170, Humaitá,13,Dengue,2004-2008,rural,2
130185, Iranduba,13,Dengue,2004-2008,rural,10
130190, Itacoatiara,13,Dengue,2004-2008,rural,20
130230, Jutaí,13,Dengue,2004-2008,rural,1
130250, Manacapuru,13,Dengue,2004-2008,rural,1
130255, Manaquiri,13,Dengue,2004-2008,rural,1
130260, Manaus,13,Dengue,2004-2008,rural,42
130270, Manicoré,13,Dengue,2004-2008,rural,1
130290, Maués,13,Dengue,2004-2008,rural,5
130300, Nhamundá,13,Dengue,2004-2008,rural,0
130310, Nova Olinda do Norte,13,Dengue,2004-2008,rural,4
130320, Novo Airão,13,Dengue,2004-2008,rural,3
130330, Novo Aripuanã,13,Dengue,2004-2008,rural,2
130340, Parintins,13,Dengue,2004-2008,rural,5
130353, Presidente Figueiredo,13,Dengue,2004-2008,rural,11
130356, Rio Preto da Eva,13,Dengue,2004-2008,rural,20
130370, Santo Antônio do Içá,13,Dengue,2004-2008,rural,0
130380, São Gabriel da Cachoeira,13,Dengue,2004-2008,rural,0
130406, Tabatinga,13,Dengue,2004-2008,rural,11
130410, Tapauá,13,Dengue,2004-2008,rural,0
130440, Urucurituba,13,Dengue,2004-2008,rural,0
140005, Alto Alegre,14,Dengue,2004-2008,rural,37
140002, Amajari,14,Dengue,2004-2008,rural,47
140010, Boa Vista,14,Dengue,2004-2008,rural,25
140015, Bonfim,14,Dengue,2004-2008,rural,12
140017, Cantá,14,Dengue,2004-2008,rural,45
140020, Caracaraí,14,Dengue,2004-2008,rural,11
140023, Caroebe,14,Dengue,2004-2008,rural,9
140028, Iracema,14,Dengue,2004-2008,rural,14
140030, Mucajaí,14,Dengue,2004-2008,rural,53
140040, Normandia,14,Dengue,2004-2008,rural,6
140045, Pacaraima,14,Dengue,2004-2008,rural,30
140047, Rorainópolis,14,Dengue,2004-2008,rural,47
140050, São João da Baliza,14,Dengue,2004-2008,rural,1
140070, Uiramutã,14,Dengue,2004-2008,rural,3
150010, Abaetetuba,15,Dengue,2004-2008,rural,170
150013, Abel Figueiredo,15,Dengue,2004-2008,rural,6
150020, Acará,15,Dengue,2004-2008,rural,34
150030, Afuá,15,Dengue,2004-2008,rural,23
150034, Água Azul do Norte,15,Dengue,2004-2008,rural,63
150040, Alenquer,15,Dengue,2004-2008,rural,4
150050, Almeirim,15,Dengue,2004-2008,rural,0
150060, Altamira,15,Dengue,2004-2008,rural,7
150070, Anajás,15,Dengue,2004-2008,rural,0
150080, Ananindeua,15,Dengue,2004-2008,rural,1
150085, Anapu,15,Dengue,2004-2008,rural,7
150090, Augusto Corrêa,15,Dengue,2004-2008,rural,33
150095, Aurora do Pará,15,Dengue,2004-2008,rural,12
150110, Bagre,15,Dengue,2004-2008,rural,1
150120, Baião,15,Dengue,2004-2008,rural,32
