geocode,municipio,uf,disease,period,zone,cases
110001,"NA",11,Falciparum,2004-2008,RURAL,121
110001,"NA",11,Vivax,2004-2008,RURAL,852
110001,"NA",11,Vivax+Falciparum,2004-2008,RURAL,4
110002,"NA",11,Falciparum,2004-2008,RURAL,3106
110002,"NA",11,Vivax,2004-2008,RURAL,8573
110002,"NA",11,Vivax+Falciparum,2004-2008,RURAL,122
110003,"NA",11,Falciparum,2004-2008,RURAL,14
110003,"NA",11,Vivax,2004-2008,RURAL,80
110003,"NA",11,Vivax+Falciparum,2004-2008,RURAL,0
110004,"NA",11,Falciparum,2004-2008,RURAL,169
110004,"NA",11,Vivax,2004-2008,RURAL,452
110004,"NA",11,Vivax+Falciparum,2004-2008,RURAL,35
110005,"NA",11,Falciparum,2004-2008,RURAL,28
110005,"NA",11,Vivax,2004-2008,RURAL,49
110005,"NA",11,Vivax+Falciparum,2004-2008,RURAL,3
110006,"NA",11,Falciparum,2004-2008,RURAL,19
110006,"NA",11,Vivax,2004-2008,RURAL,28
110006,"NA",11,Vivax+Falciparum,2004-2008,RURAL,2
110007,"NA",11,Falciparum,2004-2008,RURAL,26
110007,"NA",11,Vivax,2004-2008,RURAL,25
110007,"NA",11,Vivax+Falciparum,2004-2008,RURAL,1
110008,"NA",11,Falciparum,2004-2008,RURAL,531
110008,"NA",11,Vivax,2004-2008,RURAL,1094
110008,"NA",11,Vivax+Falciparum,2004-2008,RURAL,10
110009,"NA",11,Falciparum,2004-2008,RURAL,172
110009,"NA",11,Vivax,2004-2008,RURAL,905
110009,"NA",11,Vivax+Falciparum,2004-2008,RURAL,56
110010,"NA",11,Falciparum,2004-2008,RURAL,1281
110010,"NA",11,Vivax,2004-2008,RURAL,4549
110010,"NA",11,Vivax+Falciparum,2004-2008,RURAL,8
110011,"NA",11,Falciparum,2004-2008,RURAL,557
110011,"NA",11,Vivax,2004-2008,RURAL,1526
110011,"NA",11,Vivax+Falciparum,2004-2008,RURAL,21
110012,"NA",11,Falciparum,2004-2008,RURAL,276
110012,"NA",11,Vivax,2004-2008,RURAL,934
110012,"NA",11,Vivax+Falciparum,2004-2008,RURAL,31
110013,"NA",11,Falciparum,2004-2008,RURAL,7923
110013,"NA",11,Vivax,2004-2008,RURAL,25667
110013,"NA",11,Vivax+Falciparum,2004-2008,RURAL,64
110014,"NA",11,Falciparum,2004-2008,RURAL,185
110014,"NA",11,Vivax,2004-2008,RURAL,508
110014,"NA",11,Vivax+Falciparum,2004-2008,RURAL,10
110015,"NA",11,Falciparum,2004-2008,RURAL,48
110015,"NA",11,Vivax,2004-2008,RURAL,112
110015,"NA",11,Vivax+Falciparum,2004-2008,RURAL,2
110018,"NA",11,Falciparum,2004-2008,RURAL,21
110018,"NA",11,Vivax,2004-2008,RURAL,188
110018,"NA",11,Vivax+Falciparum,2004-2008,RURAL,0
110020,"NA",11,Falciparum,2004-2008,RURAL,32433
110020,"NA",11,Vivax,2004-2008,RURAL,102903
110020,"NA",11,Vivax+Falciparum,2004-2008,RURAL,687
110025,"NA",11,Falciparum,2004-2008,RURAL,173
110025,"NA",11,Vivax,2004-2008,RURAL,751
110025,"NA",11,Vivax+Falciparum,2004-2008,RURAL,27
110026,"NA",11,Falciparum,2004-2008,RURAL,976
110026,"NA",11,Vivax,2004-2008,RURAL,2032
110026,"NA",11,Vivax+Falciparum,2004-2008,RURAL,5
110028,"NA",11,Falciparum,2004-2008,RURAL,26
110028,"NA",11,Vivax,2004-2008,RURAL,157
110028,"NA",11,Vivax+Falciparum,2004-2008,RURAL,5
110029,"NA",11,Falciparum,2004-2008,RURAL,24
110029,"NA",11,Vivax,2004-2008,RURAL,53
110029,"NA",11,Vivax+Falciparum,2004-2008,RURAL,2
110030,"NA",11,Falciparum,2004-2008,RURAL,84
110030,"NA",11,Vivax,2004-2008,RURAL,116
110030,"NA",11,Vivax+Falciparum,2004-2008,RURAL,1
110032,"NA",11,Falciparum,2004-2008,RURAL,160
110032,"NA",11,Vivax,2004-2008,RURAL,522
110032,"NA",11,Vivax+Falciparum,2004-2008,RURAL,13
110033,"NA",11,Falciparum,2004-2008,RURAL,7133
110033,"NA",11,Vivax,2004-2008,RURAL,18966
110033,"NA",11,Vivax+Falciparum,2004-2008,RURAL,533
110034,"NA",11,Falciparum,2004-2008,RURAL,159
110034,"NA",11,Vivax,2004-2008,RURAL,975
110034,"NA",11,Vivax+Falciparum,2004-2008,RURAL,28
110037,"NA",11,Falciparum,2004-2008,RURAL,19
110037,"NA",11,Vivax,2004-2008,RURAL,141
110037,"NA",11,Vivax+Falciparum,2004-2008,RURAL,8
110040,"NA",11,Falciparum,2004-2008,RURAL,5209
110040,"NA",11,Vivax,2004-2008,RURAL,10721
110040,"NA",11,Vivax+Falciparum,2004-2008,RURAL,101
110045,"NA",11,Falciparum,2004-2008,RURAL,4631
110045,"NA",11,Vivax,2004-2008,RURAL,15031
110045,"NA",11,Vivax+Falciparum,2004-2008,RURAL,823
110050,"NA",11,Falciparum,2004-2008,RURAL,74
110050,"NA",11,Vivax,2004-2008,RURAL,209
110050,"NA",11,Vivax+Falciparum,2004-2008,RURAL,17
110060,"NA",11,Falciparum,2004-2008,RURAL,224
110060,"NA",11,Vivax,2004-2008,RURAL,438
110060,"NA",11,Vivax+Falciparum,2004-2008,RURAL,5
110070,"NA",11,Falciparum,2004-2008,RURAL,3894
110070,"NA",11,Vivax,2004-2008,RURAL,13156
110070,"NA",11,Vivax+Falciparum,2004-2008,RURAL,595
110080,"NA",11,Falciparum,2004-2008,RURAL,5028
110080,"NA",11,Vivax,2004-2008,RURAL,17434
110080,"NA",11,Vivax+Falciparum,2004-2008,RURAL,62
110090,"NA",11,Falciparum,2004-2008,RURAL,25
110090,"NA",11,Vivax,2004-2008,RURAL,179
110090,"NA",11,Vivax+Falciparum,2004-2008,RURAL,1
