geocode,municipio,uf,disease,period,rural,urban,total
110001, Alta Floresta D'Oeste,11,CL,2004-2008,188,65,253
110037, Alto Alegre dos Parecis,11,CL,2004-2008,86,25,111
110040, Alto Paraíso,11,CL,2004-2008,65,22,87
110034, Alvorada D'Oeste,11,CL,2004-2008,79,39,118
110002, Ariquemes,11,CL,2004-2008,89,299,388
110045, Buritis,11,CL,2004-2008,214,93,307
110003, Cabixi,11,CL,2004-2008,27,20,47
110060, Cacaulândia,11,CL,2004-2008,45,18,63
110004, Cacoal,11,CL,2004-2008,246,247,493
110070, Campo Novo de Rondônia,11,CL,2004-2008,101,35,136
110080, Candeias do Jamari,11,CL,2004-2008,18,25,43
110090, Castanheiras,11,CL,2004-2008,27,3,30
110005, Cerejeiras,11,CL,2004-2008,10,39,49
110092, Chupinguaia,11,CL,2004-2008,94,24,118
110006, Colorado do Oeste,11,CL,2004-2008,40,66,106
110007, Corumbiara,11,CL,2004-2008,34,6,40
110008, Costa Marques,11,CL,2004-2008,142,51,193
110094, Cujubim,11,CL,2004-2008,67,59,126
110009, Espigão D'Oeste,11,CL,2004-2008,160,99,259
110100, Governador Jorge Teixeira,11,CL,2004-2008,92,10,102
110010, Guajará-Mirim,11,CL,2004-2008,37,98,135
110110, Itapuã do Oeste,11,CL,2004-2008,17,13,30
110011, Jaru,11,CL,2004-2008,88,124,212
110012, Ji-Paraná,11,CL,2004-2008,61,254,315
110013, Machadinho D'Oeste,11,CL,2004-2008,169,83,252
110120, Ministro Andreazza,11,CL,2004-2008,44,8,52
110130, Mirante da Serra,11,CL,2004-2008,69,24,93
110140, Monte Negro,11,CL,2004-2008,121,51,172
110014, Nova Brasilândia D'Oeste,11,CL,2004-2008,90,21,111
110033, Nova Mamoré,11,CL,2004-2008,79,29,108
110143, Nova União,11,CL,2004-2008,40,7,47
110050, Novo Horizonte do Oeste,11,CL,2004-2008,80,12,92
110015, Ouro Preto do Oeste,11,CL,2004-2008,23,53,76
