geocode,municipio,uf,disease,period,rural,urban,total
110020, Porto Velho,11,VL,2004-2008,0,1,1
110030, Vilhena,11,VL,2004-2008,0,1,1
130260, Manaus,13,VL,2004-2008,0,5,5
140005, Alto Alegre,14,VL,2004-2008,2,1,3
140002, Amajari,14,VL,2004-2008,1,0,1
140010, Boa Vista,14,VL,2004-2008,1,4,5
140015, Bonfim,14,VL,2004-2008,2,1,3
140040, Normandia,14,VL,2004-2008,5,0,5
140045, Pacaraima,14,VL,2004-2008,6,1,7
140070, Uiramutã,14,VL,2004-2008,13,0,13
150010, Abaetetuba,15,VL,2004-2008,66,25,91
150020, Acará,15,VL,2004-2008,77,3,80
150060, Altamira,15,VL,2004-2008,1,2,3
150070, Anajás,15,VL,2004-2008,1,1,2
150080, Ananindeua,15,VL,2004-2008,0,12,12
150095, Aurora do Pará,15,VL,2004-2008,57,5,62
150120, Baião,15,VL,2004-2008,74,18,92
150125, Bannach,15,VL,2004-2008,1,0,1
150130, Barcarena,15,VL,2004-2008,111,88,199
150140, Belém,15,VL,2004-2008,2,24,26
150145, Belterra,15,VL,2004-2008,8,3,11
150150, Benevides,15,VL,2004-2008,1,1,2
150178, Breu Branco,15,VL,2004-2008,5,7,12
150190, Bujaru,15,VL,2004-2008,80,8,88
150200, Cachoeira do Arari,15,VL,2004-2008,2,3,5
150195, Cachoeira do Piriá,15,VL,2004-2008,1,0,1
150210, Cametá,15,VL,2004-2008,250,33,283
150220, Capanema,15,VL,2004-2008,1,2,3
150230, Capitão Poço,15,VL,2004-2008,9,4,13
150240, Castanhal,15,VL,2004-2008,1,4,5
150275, Concórdia do Pará,15,VL,2004-2008,47,12,59
150293, Dom Eliseu,15,VL,2004-2008,1,1,2
150295, Eldorado do Carajás,15,VL,2004-2008,1,1,2
150300, Faro,15,VL,2004-2008,0,1,1
150307, Garrafão do Norte,15,VL,2004-2008,25,3,28
150320, Igarapé-Açu,15,VL,2004-2008,2,0,2
150330, Igarapé-Miri,15,VL,2004-2008,36,11,47
150345, Ipixuna do Pará,15,VL,2004-2008,7,2,9
150350, Irituia,15,VL,2004-2008,1,1,2
150380, Jacundá,15,VL,2004-2008,2,4,6
150390, Juruti,15,VL,2004-2008,9,0,9
150405, Mãe do Rio,15,VL,2004-2008,9,17,26
150420, Marabá,15,VL,2004-2008,1,10,11
150442, Marituba,15,VL,2004-2008,0,9,9
150460, Mocajuba,15,VL,2004-2008,98,29,127
150470, Moju,15,VL,2004-2008,179,14,193
150480, Monte Alegre,15,VL,2004-2008,1,2,3
150503, Novo Progresso,15,VL,2004-2008,0,1,1
150506, Novo Repartimento,15,VL,2004-2008,2,4,6
150510, Óbidos,15,VL,2004-2008,1,0,1
150520, Oeiras do Pará,15,VL,2004-2008,44,4,48
150548, Pacajá,15,VL,2004-2008,2,1,3
150550, Paragominas,15,VL,2004-2008,6,4,10
150553, Parauapebas,15,VL,2004-2008,2,3,5
150563, Piçarra,15,VL,2004-2008,3,0,3
150565, Placas,15,VL,2004-2008,0,2,2
150570, Ponta de Pedras,15,VL,2004-2008,8,4,12
150613, Redenção,15,VL,2004-2008,0,4,4
150618, Rondon do Pará,15,VL,2004-2008,1,0,1
150630, Salvaterra,15,VL,2004-2008,26,7,33
150635, Santa Bárbara do Pará,15,VL,2004-2008,0,1,1
150650, Santa Izabel do Pará,15,VL,2004-2008,1,5,6
150658, Santa Maria das Barreiras,15,VL,2004-2008,1,0,1
150660, Santa Maria do Pará,15,VL,2004-2008,1,2,3
150670, Santana do Araguaia,15,VL,2004-2008,1,3,4
150680, Santarém,15,VL,2004-2008,33,64,97
150720, São Domingos do Capim,15,VL,2004-2008,36,5,41
150730, São Félix do Xingu,15,VL,2004-2008,2,0,2
150745, São Geraldo do Araguaia,15,VL,2004-2008,1,0,1
150760, São Miguel do Guamá,15,VL,2004-2008,1,6,7
150790, Soure,15,VL,2004-2008,2,7,9
150795, Tailândia,15,VL,2004-2008,44,10,54
150797, Terra Santa,15,VL,2004-2008,1,3,4
150800, Tomé-Açu,15,VL,2004-2008,156,23,179
150810, Tucuruí,15,VL,2004-2008,9,14,23
150815, Uruará,15,VL,2004-2008,2,1,3
160030, Macapá,16,VL,2004-2008,0,2,2
160015, Pedra Branca do Amapari,16,VL,2004-2008,0,1,1
170030, Aguiarnópolis,17,VL,2004-2008,1,7,8
170040, Almas,17,VL,2004-2008,2,2,4
170070, Alvorada,17,VL,2004-2008,1,0,1
170100, Ananás,17,VL,2004-2008,2,13,15
170110, Aparecida do Rio Negro,17,VL,2004-2008,2,1,3
170190, Araguacema,17,VL,2004-2008,0,1,1
170210, Araguaína,17,VL,2004-2008,4,591,595
170220, Araguatins,17,VL,2004-2008,9,59,68
170255, Augustinópolis,17,VL,2004-2008,1,22,23
170290, Axixá do Tocantins,17,VL,2004-2008,1,8,9
170300, Babaçulândia,17,VL,2004-2008,2,5,7
170330, Bom Jesus do Tocantins,17,VL,2004-2008,3,2,5
170370, Brejinho de Nazaré,17,VL,2004-2008,2,1,3
170380, Buriti do Tocantins,17,VL,2004-2008,1,32,33
170384, Campos Lindos,17,VL,2004-2008,2,1,3
170389, Carrasco Bonito,17,VL,2004-2008,0,1,1
170410, Centenário,17,VL,2004-2008,2,3,5
170510, Chapada da Natividade,17,VL,2004-2008,1,0,1
170550, Colinas do Tocantins,17,VL,2004-2008,0,5,5
170610, Cristalândia,17,VL,2004-2008,0,4,4
170700, Dianópolis,17,VL,2004-2008,3,1,4
170740, Esperantina,17,VL,2004-2008,0,2,2
170770, Filadélfia,17,VL,2004-2008,5,9,14
170900, Goiatins,17,VL,2004-2008,1,0,1
170930, Guaraí,17,VL,2004-2008,0,11,11
170950, Gurupi,17,VL,2004-2008,0,11,11
170980, Ipueiras,17,VL,2004-2008,0,2,2
171050, Itacajá,17,VL,2004-2008,0,2,2
171070, Itaguatins,17,VL,2004-2008,0,2,2
171090, Itapiratins,17,VL,2004-2008,0,1,1
171150, Jaú do Tocantins,17,VL,2004-2008,0,1,1
171190, Lagoa da Confusão,17,VL,2004-2008,0,1,1
171195, Lagoa do Tocantins,17,VL,2004-2008,1,0,1
171280, Maurilândia do Tocantins,17,VL,2004-2008,1,1,2
171320, Miracema do Tocantins,17,VL,2004-2008,2,2,4
171330, Miranorte,17,VL,2004-2008,0,3,3
171360, Monte do Carmo,17,VL,2004-2008,1,1,2
171370, Monte Santo do Tocantins,17,VL,2004-2008,1,0,1
171420, Natividade,17,VL,2004-2008,2,8,10
171488, Nova Olinda,17,VL,2004-2008,6,7,13
171510, Novo Acordo,17,VL,2004-2008,0,2,2
172100, Palmas,17,VL,2004-2008,4,168,172
171570, Palmeirante,17,VL,2004-2008,0,3,3
171380, Palmeiras do Tocantins,17,VL,2004-2008,5,1,6
171610, Paraíso do Tocantins,17,VL,2004-2008,2,74,76
171620, Paranã,17,VL,2004-2008,0,1,1
171630, Pau D'Arco,17,VL,2004-2008,0,1,1
171650, Pedro Afonso,17,VL,2004-2008,0,1,1
171665, Pequizeiro,17,VL,2004-2008,1,20,21
171780, Ponte Alta do Bom Jesus,17,VL,2004-2008,0,1,1
171790, Ponte Alta do Tocantins,17,VL,2004-2008,1,1,2
171800, Porto Alegre do Tocantins,17,VL,2004-2008,0,2,2
171820, Porto Nacional,17,VL,2004-2008,6,110,116
171830, Praia Norte,17,VL,2004-2008,0,1,1
171845, Pugmil,17,VL,2004-2008,1,0,1
171850, Recursolândia,17,VL,2004-2008,5,1,6
171855, Riachinho,17,VL,2004-2008,0,2,2
171875, Rio Sono,17,VL,2004-2008,2,0,2
171900, Santa Tereza do Tocantins,17,VL,2004-2008,0,1,1
172010, São Bento do Tocantins,17,VL,2004-2008,1,0,1
172020, São Miguel do Tocantins,17,VL,2004-2008,1,2,3
172025, São Salvador do Tocantins,17,VL,2004-2008,1,0,1
172065, Silvanópolis,17,VL,2004-2008,0,1,1
172080, Sítio Novo do Tocantins,17,VL,2004-2008,2,7,9
172090, Taguatinga,17,VL,2004-2008,2,3,5
172120, Tocantinópolis,17,VL,2004-2008,3,58,61
