geocode,municipio,uf,disease,period,rural,urban,total
110040, Alto Paraíso,11,chagas,2004-2008,0,2,2
110002, Ariquemes,11,chagas,2004-2008,1,6,7
110045, Buritis,11,chagas,2004-2008,NA,NA,1
110060, Cacaulândia,11,chagas,2004-2008,1,0,1
110005, Cerejeiras,11,chagas,2004-2008,0,1,1
110006, Colorado do Oeste,11,chagas,2004-2008,0,1,1
110012, Ji-Paraná,11,chagas,2004-2008,0,1,1
110140, Monte Negro,11,chagas,2004-2008,1,0,1
110143, Nova União,11,chagas,2004-2008,0,1,1
110015, Ouro Preto do Oeste,11,chagas,2004-2008,1,0,1
110145, Parecis,11,chagas,2004-2008,NA,NA,1
110018, Pimenta Bueno,11,chagas,2004-2008,0,3,3
110026, Rio Crespo,11,chagas,2004-2008,1,0,1
110028, Rolim de Moura,11,chagas,2004-2008,0,1,1
130014, Apuí,13,chagas,2004-2008,0,2,2
130120, Coari,13,chagas,2004-2008,6,20,26
130230, Jutaí,13,chagas,2004-2008,1,0,1
130260, Manaus,13,chagas,2004-2008,1,4,5
130420, Tefé,13,chagas,2004-2008,2,8,10
150010, Abaetetuba,15,chagas,2004-2008,21,19,40
150030, Afuá,15,chagas,2004-2008,11,1,12
150060, Altamira,15,chagas,2004-2008,0,1,1
150070, Anajás,15,chagas,2004-2008,8,1,9
150080, Ananindeua,15,chagas,2004-2008,0,14,14
150120, Baião,15,chagas,2004-2008,2,0,2
150130, Barcarena,15,chagas,2004-2008,11,24,35
150140, Belém,15,chagas,2004-2008,0,61,61
150200, Cachoeira do Arari,15,chagas,2004-2008,11,0,11
150195, Cachoeira do Piriá,15,chagas,2004-2008,1,0,1
150240, Castanhal,15,chagas,2004-2008,5,11,16
150420, Marabá,15,chagas,2004-2008,0,2,2
150442, Marituba,15,chagas,2004-2008,0,2,2
150460, Mocajuba,15,chagas,2004-2008,0,1,1
150470, Moju,15,chagas,2004-2008,8,4,12
150490, Muaná,15,chagas,2004-2008,1,0,1
150550, Paragominas,15,chagas,2004-2008,0,2,2
150553, Parauapebas,15,chagas,2004-2008,0,1,1
150655, Santa Luzia do Pará,15,chagas,2004-2008,1,0,1
150680, Santarém,15,chagas,2004-2008,22,2,24
150730, São Félix do Xingu,15,chagas,2004-2008,0,4,4
150770, São Sebastião da Boa Vista,15,chagas,2004-2008,2,0,2
150800, Tomé-Açu,15,chagas,2004-2008,1,0,1
150810, Tucuruí,15,chagas,2004-2008,0,5,5
150820, Vigia,15,chagas,2004-2008,0,1,1
160030, Macapá,16,chagas,2004-2008,0,58,58
160060, Santana,16,chagas,2004-2008,2,10,12
210005, Açailândia,21,chagas,2004-2008,0,1,1
210675, Miranda do Norte,21,chagas,2004-2008,1,1,2
211130, São Luís,21,chagas,2004-2008,0,1,1
211200, Tasso Fragoso,21,chagas,2004-2008,0,1,1
510320, Colíder,51,chagas,2004-2008,0,4,4
510410, Guarantã do Norte,51,chagas,2004-2008,0,2,2
510490, Jangada,51,chagas,2004-2008,1,0,1
510642, Peixoto de Azevedo,51,chagas,2004-2008,0,1,1
130008, Anamã,13,chagas,2004-2008,1,0,1
150110, Bagre,15,chagas,2004-2008,8,0,8
150150, Benevides,15,chagas,2004-2008,0,1,1
150160, Bonito,15,chagas,2004-2008,1,0,1
150180, Breves,15,chagas,2004-2008,11,6,17
150210, Cametá,15,chagas,2004-2008,5,0,5
150220, Capanema,15,chagas,2004-2008,0,1,1
150230, Capitão Poço,15,chagas,2004-2008,0,1,1
150275, Concórdia do Pará,15,chagas,2004-2008,0,1,1
150280, Curralinho,15,chagas,2004-2008,7,2,9
150309, Goianésia do Pará,15,chagas,2004-2008,0,1,1
150330, Igarapé-Miri,15,chagas,2004-2008,1,0,1
150495, Nova Esperança do Piriá,15,chagas,2004-2008,1,0,1
150497, Nova Ipixuna,15,chagas,2004-2008,0,1,1
150590, Porto de Moz,15,chagas,2004-2008,0,1,1
150650, Santa Izabel do Pará,15,chagas,2004-2008,1,4,5
150720, São Domingos do Capim,15,chagas,2004-2008,1,1,2
150747, São João de Pirabas,15,chagas,2004-2008,1,4,5
150796, Terra Alta,15,chagas,2004-2008,1,0,1
150830, Viseu,15,chagas,2004-2008,1,0,1
160040, Mazagão,16,chagas,2004-2008,1,0,1
170255, Augustinópolis,17,chagas,2004-2008,1,0,1
