geocode,municipio,uf,disease,period,rural,urban,total
110001, Alta Floresta D'Oeste,11,Dengue,2004-2008,102,336,438
110037, Alto Alegre dos Parecis,11,Dengue,2004-2008,54,100,154
110040, Alto Paraíso,11,Dengue,2004-2008,31,110,141
110034, Alvorada D'Oeste,11,Dengue,2004-2008,67,459,526
110002, Ariquemes,11,Dengue,2004-2008,66,1079,1145
110045, Buritis,11,Dengue,2004-2008,8,31,39
110003, Cabixi,11,Dengue,2004-2008,14,89,103
110060, Cacaulândia,11,Dengue,2004-2008,3,0,3
110004, Cacoal,11,Dengue,2004-2008,116,3845,3961
110070, Campo Novo de Rondônia,11,Dengue,2004-2008,10,1,11
110080, Candeias do Jamari,11,Dengue,2004-2008,43,87,130
110090, Castanheiras,11,Dengue,2004-2008,17,34,51
110005, Cerejeiras,11,Dengue,2004-2008,13,200,213
110092, Chupinguaia,11,Dengue,2004-2008,9,129,138
110006, Colorado do Oeste,11,Dengue,2004-2008,14,202,216
110007, Corumbiara,11,Dengue,2004-2008,1,5,6
110008, Costa Marques,11,Dengue,2004-2008,25,29,54
110094, Cujubim,11,Dengue,2004-2008,8,29,37
110009, Espigão D'Oeste,11,Dengue,2004-2008,59,407,466
110100, Governador Jorge Teixeira,11,Dengue,2004-2008,8,4,12
110010, Guajará-Mirim,11,Dengue,2004-2008,32,945,977
110110, Itapuã do Oeste,11,Dengue,2004-2008,5,27,32
110011, Jaru,11,Dengue,2004-2008,64,844,908
110012, Ji-Paraná,11,Dengue,2004-2008,49,1730,1779
110013, Machadinho D'Oeste,11,Dengue,2004-2008,16,187,203
110120, Ministro Andreazza,11,Dengue,2004-2008,9,26,35
110130, Mirante da Serra,11,Dengue,2004-2008,15,66,81
110140, Monte Negro,11,Dengue,2004-2008,23,53,76
110014, Nova Brasilândia D'Oeste,11,Dengue,2004-2008,13,42,55
110033, Nova Mamoré,11,Dengue,2004-2008,9,88,97
110050, Novo Horizonte do Oeste,11,Dengue,2004-2008,15,32,47
110015, Ouro Preto do Oeste,11,Dengue,2004-2008,29,391,420
110145, Parecis,11,Dengue,2004-2008,10,17,27
110018, Pimenta Bueno,11,Dengue,2004-2008,47,1317,1364
110020, Porto Velho,11,Dengue,2004-2008,65,2859,2924
110025, Presidente Médici,11,Dengue,2004-2008,228,1479,1707
110147, Primavera de Rondônia,11,Dengue,2004-2008,9,43,52
110026, Rio Crespo,11,Dengue,2004-2008,3,20,23
110028, Rolim de Moura,11,Dengue,2004-2008,44,556,600
110029, Santa Luzia D'Oeste,11,Dengue,2004-2008,18,63,81
110148, São Felipe D'Oeste,11,Dengue,2004-2008,19,36,55
110149, São Francisco do Guaporé,11,Dengue,2004-2008,12,76,88
110032, São Miguel do Guaporé,11,Dengue,2004-2008,42,151,193
110150, Seringueiras,11,Dengue,2004-2008,34,26,60
110155, Teixeirópolis,11,Dengue,2004-2008,7,11,18
110160, Theobroma,11,Dengue,2004-2008,16,18,34
110170, Urupá,11,Dengue,2004-2008,24,58,82
110175, Vale do Anari,11,Dengue,2004-2008,6,15,21
110180, Vale do Paraíso,11,Dengue,2004-2008,21,58,79
110030, Vilhena,11,Dengue,2004-2008,28,2393,2421
110000, Município ignorado - RO,11,Dengue,2004-2008,1,0,1
120001, Acrelândia,12,Dengue,2004-2008,9,62,71
120005, Assis Brasil,12,Dengue,2004-2008,0,13,13
120010, Brasiléia,12,Dengue,2004-2008,26,462,488
120013, Bujari,12,Dengue,2004-2008,5,23,28
120017, Capixaba,12,Dengue,2004-2008,10,14,24
120020, Cruzeiro do Sul,12,Dengue,2004-2008,0,7,7
120025, Epitaciolândia,12,Dengue,2004-2008,17,451,468
120038, Plácido de Castro,12,Dengue,2004-2008,5,17,22
120080, Porto Acre,12,Dengue,2004-2008,14,17,31
120040, Rio Branco,12,Dengue,2004-2008,106,8196,8302
120042, Rodrigues Alves,12,Dengue,2004-2008,0,1,1
120050, Sena Madureira,12,Dengue,2004-2008,22,308,330
120045, Senador Guiomard,12,Dengue,2004-2008,22,148,170
120070, Xapuri,12,Dengue,2004-2008,3,12,15
120000, Município ignorado - AC,12,Dengue,2004-2008,0,1,1
130010, Anori,13,Dengue,2004-2008,1,1,2
130020, Atalaia do Norte,13,Dengue,2004-2008,2,0,2
130040, Barcelos,13,Dengue,2004-2008,2,125,127
130050, Barreirinha,13,Dengue,2004-2008,1,2,3
130070, Boca do Acre,13,Dengue,2004-2008,11,15,26
130080, Borba,13,Dengue,2004-2008,7,89,96
130083, Caapiranga,13,Dengue,2004-2008,2,2,4
130090, Canutama,13,Dengue,2004-2008,1,3,4
130100, Carauari,13,Dengue,2004-2008,0,1,1
130110, Careiro,13,Dengue,2004-2008,10,23,33
130120, Coari,13,Dengue,2004-2008,15,430,445
130130, Codajás,13,Dengue,2004-2008,1,18,19
130140, Eirunepé,13,Dengue,2004-2008,0,3,3
130170, Humaitá,13,Dengue,2004-2008,2,83,85
130185, Iranduba,13,Dengue,2004-2008,10,18,28
130190, Itacoatiara,13,Dengue,2004-2008,20,363,383
130230, Jutaí,13,Dengue,2004-2008,1,0,1
130250, Manacapuru,13,Dengue,2004-2008,1,23,24
130255, Manaquiri,13,Dengue,2004-2008,1,6,7
130260, Manaus,13,Dengue,2004-2008,42,10041,10083
130270, Manicoré,13,Dengue,2004-2008,1,20,21
130290, Maués,13,Dengue,2004-2008,5,46,51
130300, Nhamundá,13,Dengue,2004-2008,0,6,6
130310, Nova Olinda do Norte,13,Dengue,2004-2008,4,67,71
130320, Novo Airão,13,Dengue,2004-2008,3,16,19
130330, Novo Aripuanã,13,Dengue,2004-2008,2,11,13
130340, Parintins,13,Dengue,2004-2008,5,248,253
130353, Presidente Figueiredo,13,Dengue,2004-2008,11,18,29
130356, Rio Preto da Eva,13,Dengue,2004-2008,20,40,60
130370, Santo Antônio do Içá,13,Dengue,2004-2008,0,1,1
130380, São Gabriel da Cachoeira,13,Dengue,2004-2008,0,30,30
130406, Tabatinga,13,Dengue,2004-2008,11,22,33
130410, Tapauá,13,Dengue,2004-2008,0,5,5
130440, Urucurituba,13,Dengue,2004-2008,0,2,2
140005, Alto Alegre,14,Dengue,2004-2008,37,233,270
140002, Amajari,14,Dengue,2004-2008,47,37,84
140010, Boa Vista,14,Dengue,2004-2008,25,7565,7590
140015, Bonfim,14,Dengue,2004-2008,12,78,90
140017, Cantá,14,Dengue,2004-2008,45,101,146
140020, Caracaraí,14,Dengue,2004-2008,11,30,41
140023, Caroebe,14,Dengue,2004-2008,9,22,31
140028, Iracema,14,Dengue,2004-2008,14,330,344
140030, Mucajaí,14,Dengue,2004-2008,53,487,540
140040, Normandia,14,Dengue,2004-2008,6,13,19
140045, Pacaraima,14,Dengue,2004-2008,30,222,252
140047, Rorainópolis,14,Dengue,2004-2008,47,256,303
140050, São João da Baliza,14,Dengue,2004-2008,1,32,33
140070, Uiramutã,14,Dengue,2004-2008,3,5,8
150010, Abaetetuba,15,Dengue,2004-2008,170,1318,1488
150013, Abel Figueiredo,15,Dengue,2004-2008,6,43,49
150020, Acará,15,Dengue,2004-2008,34,17,51
150030, Afuá,15,Dengue,2004-2008,23,1,24
150034, Água Azul do Norte,15,Dengue,2004-2008,63,177,240
150040, Alenquer,15,Dengue,2004-2008,4,64,68
150050, Almeirim,15,Dengue,2004-2008,0,2,2
150060, Altamira,15,Dengue,2004-2008,7,39,46
150070, Anajás,15,Dengue,2004-2008,0,1,1
150080, Ananindeua,15,Dengue,2004-2008,1,900,901
150085, Anapu,15,Dengue,2004-2008,7,23,30
150090, Augusto Corrêa,15,Dengue,2004-2008,33,31,64
150095, Aurora do Pará,15,Dengue,2004-2008,12,38,50
150110, Bagre,15,Dengue,2004-2008,1,3,4
150120, Baião,15,Dengue,2004-2008,32,31,63
150125, Bannach,15,Dengue,2004-2008,35,89,124
150130, Barcarena,15,Dengue,2004-2008,55,784,839
150140, Belém,15,Dengue,2004-2008,41,8901,8942
150145, Belterra,15,Dengue,2004-2008,38,247,285
150150, Benevides,15,Dengue,2004-2008,4,380,384
150157, Bom Jesus do Tocantins,15,Dengue,2004-2008,54,223,277
150160, Bonito,15,Dengue,2004-2008,0,9,9
150170, Bragança,15,Dengue,2004-2008,170,467,637
150172, Brasil Novo,15,Dengue,2004-2008,0,1,1
150175, Brejo Grande do Araguaia,15,Dengue,2004-2008,38,166,204
150178, Breu Branco,15,Dengue,2004-2008,155,370,525
150180, Breves,15,Dengue,2004-2008,10,21,31
150190, Bujaru,15,Dengue,2004-2008,14,69,83
150200, Cachoeira do Arari,15,Dengue,2004-2008,0,3,3
150195, Cachoeira do Piriá,15,Dengue,2004-2008,25,83,108
150210, Cametá,15,Dengue,2004-2008,124,455,579
150215, Canaã dos Carajás,15,Dengue,2004-2008,12,170,182
150220, Capanema,15,Dengue,2004-2008,18,232,250
150230, Capitão Poço,15,Dengue,2004-2008,21,46,67
150240, Castanhal,15,Dengue,2004-2008,38,528,566
150250, Chaves,15,Dengue,2004-2008,1,4,5
150260, Colares,15,Dengue,2004-2008,22,5,27
150270, Conceição do Araguaia,15,Dengue,2004-2008,230,1742,1972
150275, Concórdia do Pará,15,Dengue,2004-2008,7,39,46
150276, Cumaru do Norte,15,Dengue,2004-2008,59,424,483
150277, Curionópolis,15,Dengue,2004-2008,17,148,165
150280, Curralinho,15,Dengue,2004-2008,2,3,5
150290, Curuçá,15,Dengue,2004-2008,10,8,18
150293, Dom Eliseu,15,Dengue,2004-2008,29,223,252
150295, Eldorado do Carajás,15,Dengue,2004-2008,104,320,424
150300, Faro,15,Dengue,2004-2008,0,1,1
150304, Floresta do Araguaia,15,Dengue,2004-2008,51,220,271
150307, Garrafão do Norte,15,Dengue,2004-2008,8,7,15
150309, Goianésia do Pará,15,Dengue,2004-2008,71,323,394
150310, Gurupá,15,Dengue,2004-2008,6,5,11
150320, Igarapé-Açu,15,Dengue,2004-2008,79,243,322
150330, Igarapé-Miri,15,Dengue,2004-2008,22,109,131
150340, Inhangapi,15,Dengue,2004-2008,16,10,26
150345, Ipixuna do Pará,15,Dengue,2004-2008,27,5,32
150350, Irituia,15,Dengue,2004-2008,37,182,219
150360, Itaituba,15,Dengue,2004-2008,74,2434,2508
150370, Itupiranga,15,Dengue,2004-2008,248,109,357
150375, Jacareacanga,15,Dengue,2004-2008,3,9,12
150380, Jacundá,15,Dengue,2004-2008,60,471,531
150390, Juruti,15,Dengue,2004-2008,17,202,219
150400, Limoeiro do Ajuru,15,Dengue,2004-2008,6,22,28
150405, Mãe do Rio,15,Dengue,2004-2008,16,78,94
150410, Magalhães Barata,15,Dengue,2004-2008,18,73,91
150420, Marabá,15,Dengue,2004-2008,285,1199,1484
150430, Maracanã,15,Dengue,2004-2008,46,90,136
150440, Marapanim,15,Dengue,2004-2008,28,15,43
150442, Marituba,15,Dengue,2004-2008,9,1329,1338
150460, Mocajuba,15,Dengue,2004-2008,1,38,39
150470, Moju,15,Dengue,2004-2008,147,650,797
150480, Monte Alegre,15,Dengue,2004-2008,13,552,565
150490, Muaná,15,Dengue,2004-2008,14,60,74
150495, Nova Esperança do Piriá,15,Dengue,2004-2008,8,10,18
150497, Nova Ipixuna,15,Dengue,2004-2008,44,172,216
150503, Novo Progresso,15,Dengue,2004-2008,37,313,350
150506, Novo Repartimento,15,Dengue,2004-2008,43,146,189
150510, Óbidos,15,Dengue,2004-2008,3,28,31
150520, Oeiras do Pará,15,Dengue,2004-2008,4,8,12
150530, Oriximiná,15,Dengue,2004-2008,65,1002,1067
150540, Ourém,15,Dengue,2004-2008,31,127,158
150543, Ourilândia do Norte,15,Dengue,2004-2008,45,350,395
150548, Pacajá,15,Dengue,2004-2008,93,529,622
150549, Palestina do Pará,15,Dengue,2004-2008,29,37,66
150550, Paragominas,15,Dengue,2004-2008,11,226,237
150553, Parauapebas,15,Dengue,2004-2008,107,2096,2203
150555, Pau D'Arco,15,Dengue,2004-2008,77,231,308
150563, Piçarra,15,Dengue,2004-2008,12,45,57
150565, Placas,15,Dengue,2004-2008,19,68,87
150570, Ponta de Pedras,15,Dengue,2004-2008,3,19,22
150580, Portel,15,Dengue,2004-2008,6,110,116
150600, Prainha,15,Dengue,2004-2008,3,1,4
150610, Primavera,15,Dengue,2004-2008,10,72,82
150611, Quatipuru,15,Dengue,2004-2008,53,76,129
150613, Redenção,15,Dengue,2004-2008,30,1231,1261
150616, Rio Maria,15,Dengue,2004-2008,20,606,626
150618, Rondon do Pará,15,Dengue,2004-2008,83,1155,1238
150619, Rurópolis,15,Dengue,2004-2008,50,404,454
150620, Salinópolis,15,Dengue,2004-2008,56,159,215
150630, Salvaterra,15,Dengue,2004-2008,5,10,15
150635, Santa Bárbara do Pará,15,Dengue,2004-2008,7,48,55
150640, Santa Cruz do Arari,15,Dengue,2004-2008,0,2,2
150650, Santa Izabel do Pará,15,Dengue,2004-2008,11,323,334
150655, Santa Luzia do Pará,15,Dengue,2004-2008,17,122,139
150658, Santa Maria das Barreiras,15,Dengue,2004-2008,256,35,291
150660, Santa Maria do Pará,15,Dengue,2004-2008,16,42,58
150670, Santana do Araguaia,15,Dengue,2004-2008,5,96,101
150680, Santarém,15,Dengue,2004-2008,450,1530,1980
150690, Santarém Novo,15,Dengue,2004-2008,3,1,4
150700, Santo Antônio do Tauá,15,Dengue,2004-2008,18,52,70
150710, São Caetano de Odivelas,15,Dengue,2004-2008,14,28,42
150715, São Domingos do Araguaia,15,Dengue,2004-2008,140,455,595
150720, São Domingos do Capim,15,Dengue,2004-2008,8,21,29
150730, São Félix do Xingu,15,Dengue,2004-2008,95,655,750
150740, São Francisco do Pará,15,Dengue,2004-2008,90,291,381
150745, São Geraldo do Araguaia,15,Dengue,2004-2008,163,881,1044
150746, São João da Ponta,15,Dengue,2004-2008,18,10,28
150747, São João de Pirabas,15,Dengue,2004-2008,24,55,79
150750, São João do Araguaia,15,Dengue,2004-2008,51,36,87
150760, São Miguel do Guamá,15,Dengue,2004-2008,3,188,191
150770, São Sebastião da Boa Vista,15,Dengue,2004-2008,1,22,23
150775, Sapucaia,15,Dengue,2004-2008,18,60,78
150790, Soure,15,Dengue,2004-2008,2,248,250
150795, Tailândia,15,Dengue,2004-2008,18,359,377
150796, Terra Alta,15,Dengue,2004-2008,11,6,17
150797, Terra Santa,15,Dengue,2004-2008,4,34,38
150800, Tomé-Açu,15,Dengue,2004-2008,45,94,139
150803, Tracuateua,15,Dengue,2004-2008,42,52,94
150805, Trairão,15,Dengue,2004-2008,24,33,57
150808, Tucumã,15,Dengue,2004-2008,61,692,753
150810, Tucuruí,15,Dengue,2004-2008,9,786,795
150812, Ulianópolis,15,Dengue,2004-2008,49,162,211
150820, Vigia,15,Dengue,2004-2008,22,78,100
150830, Viseu,15,Dengue,2004-2008,38,100,138
150840, Xinguara,15,Dengue,2004-2008,30,562,592
150000, Município ignorado - PA,15,Dengue,2004-2008,0,1,1
160010, Amapá,16,Dengue,2004-2008,0,1,1
160020, Calçoene,16,Dengue,2004-2008,1,1,2
160027, Laranjal do Jari,16,Dengue,2004-2008,1,3,4
160030, Macapá,16,Dengue,2004-2008,28,8093,8121
160040, Mazagão,16,Dengue,2004-2008,11,12,23
160050, Oiapoque,16,Dengue,2004-2008,10,1221,1231
160015, Pedra Branca do Amapari,16,Dengue,2004-2008,6,2,8
160053, Porto Grande,16,Dengue,2004-2008,10,149,159
160060, Santana,16,Dengue,2004-2008,30,2298,2328
160005, Serra do Navio,16,Dengue,2004-2008,2,3,5
160070, Tartarugalzinho,16,Dengue,2004-2008,2,0,2
170025, Abreulândia,17,Dengue,2004-2008,15,173,188
170030, Aguiarnópolis,17,Dengue,2004-2008,23,74,97
170035, Aliança do Tocantins,17,Dengue,2004-2008,1,20,21
170040, Almas,17,Dengue,2004-2008,23,339,362
170070, Alvorada,17,Dengue,2004-2008,2,50,52
170100, Ananás,17,Dengue,2004-2008,46,335,381
