geocode,municipio,uf,disease,period,zone,cases
110020, Porto Velho,11,VL,2004-2008,rural,0
110030, Vilhena,11,VL,2004-2008,rural,0
130260, Manaus,13,VL,2004-2008,rural,0
140005, Alto Alegre,14,VL,2004-2008,rural,2
140002, Amajari,14,VL,2004-2008,rural,1
140010, Boa Vista,14,VL,2004-2008,rural,1
140015, Bonfim,14,VL,2004-2008,rural,2
140040, Normandia,14,VL,2004-2008,rural,5
140045, Pacaraima,14,VL,2004-2008,rural,6
140070, Uiramutã,14,VL,2004-2008,rural,13
150010, Abaetetuba,15,VL,2004-2008,rural,66
150020, Acará,15,VL,2004-2008,rural,77
150060, Altamira,15,VL,2004-2008,rural,1
150070, Anajás,15,VL,2004-2008,rural,1
150080, Ananindeua,15,VL,2004-2008,rural,0
150095, Aurora do Pará,15,VL,2004-2008,rural,57
150120, Baião,15,VL,2004-2008,rural,74
150125, Bannach,15,VL,2004-2008,rural,1
150130, Barcarena,15,VL,2004-2008,rural,111
150140, Belém,15,VL,2004-2008,rural,2
150145, Belterra,15,VL,2004-2008,rural,8
150150, Benevides,15,VL,2004-2008,rural,1
150178, Breu Branco,15,VL,2004-2008,rural,5
150190, Bujaru,15,VL,2004-2008,rural,80
150200, Cachoeira do Arari,15,VL,2004-2008,rural,2
150195, Cachoeira do Piriá,15,VL,2004-2008,rural,1
150210, Cametá,15,VL,2004-2008,rural,250
150220, Capanema,15,VL,2004-2008,rural,1
150230, Capitão Poço,15,VL,2004-2008,rural,9
150240, Castanhal,15,VL,2004-2008,rural,1
150275, Concórdia do Pará,15,VL,2004-2008,rural,47
150293, Dom Eliseu,15,VL,2004-2008,rural,1
150295, Eldorado do Carajás,15,VL,2004-2008,rural,1
150300, Faro,15,VL,2004-2008,rural,0
150307, Garrafão do Norte,15,VL,2004-2008,rural,25
150320, Igarapé-Açu,15,VL,2004-2008,rural,2
150330, Igarapé-Miri,15,VL,2004-2008,rural,36
150345, Ipixuna do Pará,15,VL,2004-2008,rural,7
150350, Irituia,15,VL,2004-2008,rural,1
150380, Jacundá,15,VL,2004-2008,rural,2
150390, Juruti,15,VL,2004-2008,rural,9
150405, Mãe do Rio,15,VL,2004-2008,rural,9
150420, Marabá,15,VL,2004-2008,rural,1
150442, Marituba,15,VL,2004-2008,rural,0
150460, Mocajuba,15,VL,2004-2008,rural,98
150470, Moju,15,VL,2004-2008,rural,179
150480, Monte Alegre,15,VL,2004-2008,rural,1
150503, Novo Progresso,15,VL,2004-2008,rural,0
150506, Novo Repartimento,15,VL,2004-2008,rural,2
150510, Óbidos,15,VL,2004-2008,rural,1
150520, Oeiras do Pará,15,VL,2004-2008,rural,44
150548, Pacajá,15,VL,2004-2008,rural,2
150550, Paragominas,15,VL,2004-2008,rural,6
150553, Parauapebas,15,VL,2004-2008,rural,2
150563, Piçarra,15,VL,2004-2008,rural,3
150565, Placas,15,VL,2004-2008,rural,0
150570, Ponta de Pedras,15,VL,2004-2008,rural,8
150613, Redenção,15,VL,2004-2008,rural,0
150618, Rondon do Pará,15,VL,2004-2008,rural,1
150630, Salvaterra,15,VL,2004-2008,rural,26
150635, Santa Bárbara do Pará,15,VL,2004-2008,rural,0
150650, Santa Izabel do Pará,15,VL,2004-2008,rural,1
150658, Santa Maria das Barreiras,15,VL,2004-2008,rural,1
150660, Santa Maria do Pará,15,VL,2004-2008,rural,1
150670, Santana do Araguaia,15,VL,2004-2008,rural,1
150680, Santarém,15,VL,2004-2008,rural,33
150720, São Domingos do Capim,15,VL,2004-2008,rural,36
150730, São Félix do Xingu,15,VL,2004-2008,rural,2
150745, São Geraldo do Araguaia,15,VL,2004-2008,rural,1
150760, São Miguel do Guamá,15,VL,2004-2008,rural,1
150790, Soure,15,VL,2004-2008,rural,2
150795, Tailândia,15,VL,2004-2008,rural,44
150797, Terra Santa,15,VL,2004-2008,rural,1
150800, Tomé-Açu,15,VL,2004-2008,rural,156
150810, Tucuruí,15,VL,2004-2008,rural,9
150815, Uruará,15,VL,2004-2008,rural,2
160030, Macapá,16,VL,2004-2008,rural,0
160015, Pedra Branca do Amapari,16,VL,2004-2008,rural,0
170030, Aguiarnópolis,17,VL,2004-2008,rural,1
170040, Almas,17,VL,2004-2008,rural,2
170070, Alvorada,17,VL,2004-2008,rural,1
170100, Ananás,17,VL,2004-2008,rural,2
170110, Aparecida do Rio Negro,17,VL,2004-2008,rural,2
170190, Araguacema,17,VL,2004-2008,rural,0
170210, Araguaína,17,VL,2004-2008,rural,4
170220, Araguatins,17,VL,2004-2008,rural,9
170255, Augustinópolis,17,VL,2004-2008,rural,1
170290, Axixá do Tocantins,17,VL,2004-2008,rural,1
170300, Babaçulândia,17,VL,2004-2008,rural,2
170330, Bom Jesus do Tocantins,17,VL,2004-2008,rural,3
170370, Brejinho de Nazaré,17,VL,2004-2008,rural,2
170380, Buriti do Tocantins,17,VL,2004-2008,rural,1
170384, Campos Lindos,17,VL,2004-2008,rural,2
170389, Carrasco Bonito,17,VL,2004-2008,rural,0
170410, Centenário,17,VL,2004-2008,rural,2
170510, Chapada da Natividade,17,VL,2004-2008,rural,1
170550, Colinas do Tocantins,17,VL,2004-2008,rural,0
170610, Cristalândia,17,VL,2004-2008,rural,0
170700, Dianópolis,17,VL,2004-2008,rural,3
170740, Esperantina,17,VL,2004-2008,rural,0
170770, Filadélfia,17,VL,2004-2008,rural,5
170900, Goiatins,17,VL,2004-2008,rural,1
170930, Guaraí,17,VL,2004-2008,rural,0
170950, Gurupi,17,VL,2004-2008,rural,0
170980, Ipueiras,17,VL,2004-2008,rural,0
171050, Itacajá,17,VL,2004-2008,rural,0
171070, Itaguatins,17,VL,2004-2008,rural,0
171090, Itapiratins,17,VL,2004-2008,rural,0
171150, Jaú do Tocantins,17,VL,2004-2008,rural,0
171190, Lagoa da Confusão,17,VL,2004-2008,rural,0
171195, Lagoa do Tocantins,17,VL,2004-2008,rural,1
171280, Maurilândia do Tocantins,17,VL,2004-2008,rural,1
171320, Miracema do Tocantins,17,VL,2004-2008,rural,2
171330, Miranorte,17,VL,2004-2008,rural,0
171360, Monte do Carmo,17,VL,2004-2008,rural,1
171370, Monte Santo do Tocantins,17,VL,2004-2008,rural,1
171420, Natividade,17,VL,2004-2008,rural,2
171488, Nova Olinda,17,VL,2004-2008,rural,6
171510, Novo Acordo,17,VL,2004-2008,rural,0
172100, Palmas,17,VL,2004-2008,rural,4
171570, Palmeirante,17,VL,2004-2008,rural,0
171380, Palmeiras do Tocantins,17,VL,2004-2008,rural,5
171610, Paraíso do Tocantins,17,VL,2004-2008,rural,2
171620, Paranã,17,VL,2004-2008,rural,0
171630, Pau D'Arco,17,VL,2004-2008,rural,0
171650, Pedro Afonso,17,VL,2004-2008,rural,0
171665, Pequizeiro,17,VL,2004-2008,rural,1
171780, Ponte Alta do Bom Jesus,17,VL,2004-2008,rural,0
171790, Ponte Alta do Tocantins,17,VL,2004-2008,rural,1
171800, Porto Alegre do Tocantins,17,VL,2004-2008,rural,0
171820, Porto Nacional,17,VL,2004-2008,rural,6
171830, Praia Norte,17,VL,2004-2008,rural,0
171845, Pugmil,17,VL,2004-2008,rural,1
171850, Recursolândia,17,VL,2004-2008,rural,5
171855, Riachinho,17,VL,2004-2008,rural,0
171875, Rio Sono,17,VL,2004-2008,rural,2
171900, Santa Tereza do Tocantins,17,VL,2004-2008,rural,0
172010, São Bento do Tocantins,17,VL,2004-2008,rural,1
172020, São Miguel do Tocantins,17,VL,2004-2008,rural,1
172025, São Salvador do Tocantins,17,VL,2004-2008,rural,1
172065, Silvanópolis,17,VL,2004-2008,rural,0
172080, Sítio Novo do Tocantins,17,VL,2004-2008,rural,2
172090, Taguatinga,17,VL,2004-2008,rural,2
172120, Tocantinópolis,17,VL,2004-2008,rural,3
172208, Wanderlândia,17,VL,2004-2008,rural,2
210005, Açailândia,21,VL,2004-2008,rural,2
210020, Alcântara,21,VL,2004-2008,rural,0
210050, Alto Parnaíba,21,VL,2004-2008,rural,0
210060, Amarante do Maranhão,21,VL,2004-2008,rural,21
210070, Anajatuba,21,VL,2004-2008,rural,1
210080, Anapurus,21,VL,2004-2008,rural,2
210100, Arari,21,VL,2004-2008,rural,1
210120, Bacabal,21,VL,2004-2008,rural,11
210140, Balsas,21,VL,2004-2008,rural,1
210160, Barra do Corda,21,VL,2004-2008,rural,8
210170, Barreirinhas,21,VL,2004-2008,rural,6
210203, Bom Jesus das Selvas,21,VL,2004-2008,rural,2
210230, Buriti Bravo,21,VL,2004-2008,rural,0
210232, Buriticupu,21,VL,2004-2008,rural,5
210235, Buritirana,21,VL,2004-2008,rural,0
210270, Cantanhede,21,VL,2004-2008,rural,12
210280, Carolina,21,VL,2004-2008,rural,4
210300, Caxias,21,VL,2004-2008,rural,0
210310, Cedral,21,VL,2004-2008,rural,2
210325, Cidelândia,21,VL,2004-2008,rural,2
210330, Codó,21,VL,2004-2008,rural,14
210350, Colinas,21,VL,2004-2008,rural,17
210360, Coroatá,21,VL,2004-2008,rural,22
